cnpj,razao_social,nome_fantasia,segmento,sub_segmento,endereco,cidade,ring,telefone,whatsapp,email,instagram,website,google_maps_url,google_rating,google_reviews,porte,foco_felino,potencial_b2b,notas,lat,lng,completeness_score,bairro,facebook,fonte_descoberta,data_discovery,marketplace_ifood,marketplace_rappi,marketplace_ml,marketplace_shopee,rating_marketplace,digital_maturity,fonte_enriquecimento,batch_source,horario,categorias_google,cnae_principal,cnae_descricao,uf,cep,situacao_cadastral,data_abertura,natureza_juridica,capital_social,telefone_receita,email_receita,ja_no_crm
,EurekaPet Clínica Veterinária,EurekaPet,clinica_vet,local,,Santo André,1_abc,(11) 94713-3883,(11) 94713-3883,,@eurekapetsp,,,,,me,false,alto,"Round 3 — 8 anos, WhatsApp validado",-23.676925,-46.543752,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Nos Amis Centro Veterinário,Nos Amis,clinica_vet,centro_completo,,Santo André,1_abc,,,,,https://nosamis.com.br/,,,,epp,false,muito_alto,Round 3 — Clínica+cirurgias+internação+lab,-23.674311,-46.543464,2,,,,,,,,,,,,,,,,,,,,,,,,,
,VitalVet ABC Centro Médico,VitalVet ABC,clinica_vet,centro_medico,,Santo André,1_abc,(11) 4438-4655,,,,https://www.vitalvetabc.com.br/,,,,epp,false,muito_alto,Round 3 — Centro médico veterinário ABC,-23.660167,-46.529613,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Vet Selvagem Clínica,Vet Selvagem,clinica_vet,especializada,,Santo André,1_abc,,,,,,,,,epp,true,muito_alto,"Round 3 — Nova, foco silvestres+felinos",-23.669827,-46.546413,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Buticão Veterinário Hotel,Buticão,clinica_vet,completo,Bairro Campestre,Santo André,1_abc,(11) 4991-3324,,,@clinicabuticao,https://www.facebook.com/petshopboticao/,,,,epp,false,muito_alto,"Round 3 — Desde 1981, completo+hospedagem",-23.660779,-46.546286,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Boutique Pet & Spa,Boutique Pet,banho_tosa,boutique,,Santo André,1_abc,,,,@boutiquepetespa,https://boutiqupetspa.com.br/,,,1788,epp,true,muito_alto,"Round 3 — Especialista Spitz, sem gaiola, 1788 followers",-23.670807,-46.545211,2,,,,,,,,,,,,,,,,,,,,,,,,,
,SofistCão Banho e Tosa,SofistCão,banho_tosa,especializada,,Santo André,1_abc,,,,@sofist_cao,,,,2370,epp,true,muito_alto,"Round 3 — 2370 followers, especialista tosa bebê+Spitz",-23.676178,-46.543611,1,,,,,,,,,,,,,,,,,,,,,,,,,
,The Pet Club Vila Assunção,The Pet Club,banho_tosa,local,Vila Assunção,Santo André,1_abc,,,,,https://www.linkbr.in/thepetclub,,,,me,false,alto,Round 3 — Parceiro confiável Vila Assunção,-23.686625,-46.556772,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Cão Carinho Pet Shop,Cão Carinho,banho_tosa,pet_shop,"R. Balaclava, 553",Santo André,1_abc,(11) 4975-4130,,,,,,,,me,false,alto,"Round 3 — Tel validado, endereço confirmado",-23.675702,-46.539814,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Banho e Tosa Nações,Nações Veterinária,clinica_vet,banho_tosa,,Santo André,1_abc,,,,@banhoetosanacoes,https://petshopnacoes.com.br/,,,,epp,false,alto,Round 3 — Clínica+banho+tosa+vacinas,-23.674155,-46.540309,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Michele Cats Especialista,Michele Cats,banho_tosa,cat_groomer,São Paulo/ABC,Santo André,1_abc,,,,,https://www.michelecats.com.br/,,,,mei,true,MÁXIMO,Round 3 — 🎯 CAT GROOMER ESPECIALISTA FELINOS+COELHOS! PERFECT FIT GATO³,-23.673297,-46.546795,3,,,,,,,,,,,,,,,,,,,,,,,,,
53.153.938/0016-85,Cobasi Santo André P. Barreto,Cobasi P. Barreto,pet_shop,megaloja,,Santo André,1_abc,,,,,https://www.cobasi.com.br/lojas/cobasi-santo-andre-pereira-barreto,,,,grande,false,muito_alto,Round 3 — Banho+tosa+clínica,-23.669706,-46.540512,3,,,,,,,,,,,,,,,,,,,,,,,,,
53.153.938/0016-86,Cobasi Santo André Av. Estados,Cobasi Av. Estados,pet_shop,megaloja,"Avenida dos Estados, 5745",Santo André,1_abc,(11) 5039-9549,,,,https://www.cobasi.com.br/lojas/cobasi-santo-andre-pq-jacatuba,,,,grande,false,muito_alto,Round 3 — Loja completa jardinagem+consultas vet+banho,-23.669948,-46.539789,5,,,,,,,,,,,,,,,,,,,,,,,,,
,Dr. Hato Vila Alto,Dr. Hato SA,clinica_vet,hospital_pet,Vila Alto,Santo André,1_abc,,,,,https://drhato.com.br/,,,,epp,false,muito_alto,Round 3 — Hospital+pet shop funcionando normalmente,-23.67091,-46.54587,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet Shop Avicultura Pedroso,Pedroso Avicultura,pet_shop,completo,,Santo André,1_abc,,,,@PetShopAvilculturaPedroso,https://www.facebook.com/PetShopAvilculturaPedroso/,,,,me,false,alto,Round 3 — Rotina completa: banho+ração+brinquedos,-23.673815,-46.54549,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Mini Pet Store Cidade Viva,Mini Pet Store,pet_shop,local,,Santo André,1_abc,,,,@minipetstore_santoandre,,,,,me,false,medio,"Round 3 — Cidade Viva, catálogo WhatsApp",-23.674492,-46.546731,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Mini Pet Store Square Garden,Mini Pet Store SG,pet_shop,shopping,Square Garden,Santo André,1_abc,,,,@minipetstore_santoandre,,,,,me,false,medio,Round 3 — Shopping Square Garden,-23.674668,-46.539318,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Petlife Sao Caetano,Petlife Sao Caetano,clinica_vet,24h,"R. Amazonas, 1159 - Oswaldo Cruz",São Caetano do Sul,1_abc,(11) 4225-1899,(11) 95028-9537,petlifesaocaetano@gmail.com,@petlife.saocaetano,https://petlifesaocaetano.com.br/,,,,epp,false,alto,"Vet 24h. Consultas, emergencias, cirurgias, oncologia, internacao.",,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Ethicus Hospital Veterinario,Ethicus Hospital Veterinario,clinica_vet,hospital_24h,"Estrada das Lagrimas, 1843 - Bairro Maua",São Caetano do Sul,1_abc,(11) 4238-8505,(11) 97445-5545,ethicus@ethicus.com.br,@ethicushospital24h,https://ethicus.com.br/,,,,medio,true,alto,"Hospital 24h. Medicina Felina, Neurologia, Oncologia, Ortopedia. Referencia ABC.",,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Oriente Clinica Veterinaria,Oriente Clinica Veterinaria,clinica_vet,especialidades,"R. Oriente, 941 - Barcelona",São Caetano do Sul,1_abc,(11) 4221-6880,(11) 97277-2255,,@oriente.vet,https://orientevet.com/,,,,epp,true,alto,"ESPECIALISTA EM FELINOS. Seg-Sex 9h-19h, Sab 9h-16h. Cardiologia, Oncologia, Nefrologia. MATCH GATO3.",,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypolittus Vet,Hypolittus Vet,clinica_vet,especialidades,"Av. Vital Brasil Filho, 623 - Osvaldo Cruz",São Caetano do Sul,1_abc,,(11) 97090-2518,contato@hypolittusvet.com.br,@hypolittus.vet,https://hypolittusvet.com.br/,,,,epp,false,alto,"Ortopedia, Fisioterapia, Oncologia, Acupuntura. Seg-Sex 9h-18h, Sab 9h-14h.",,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Clinical Pets,Clinical Pets,clinica_vet,clinica_pet,"R. Herculano de Freitas, 417 - Fundacao",São Caetano do Sul,1_abc,(11) 4225-1378,(11) 99661-7999,,,https://www.clinicalpets.com/,,,,epp,true,alto,Clinica + Farmacia + Banho e Tosa + Ozonioterapia.,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Clinica Veterinaria Sao Caetano,Clinica Veterinaria Sao Caetano,clinica_vet,clinica,Sao Caetano do Sul,São Caetano do Sul,1_abc,,(11) 93354-5454,,@clinvetsaocaetano,https://clinvetsaocaetano.com.br/,,,,me,false,medio,"Somente agendamento via WhatsApp. Exames, Vacinas, Banho e Tosa.",,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,WeVets Sao Caetano,WeVets Sao Caetano,clinica_vet,hospital,Sao Caetano do Sul,São Caetano do Sul,1_abc,,,,,https://wevets.com.br/unidade-sao-caetano/,,,,medio,false,alto,Rede de clinicas veterinarias. Unidade ABC.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet e Co.,Pet e Co.,pet_shop,banho_tosa,"R. Oswaldo Cruz, 1580 - Santa Paula",São Caetano do Sul,1_abc,,(11) 97630-4312,,@petco.sp,,,,,me,false,medio,Pet shop + banho e tosa.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Sao Caetano Pet Shop,Sao Caetano Pet Shop,pet_shop,local,"R. Nossa Senhora de Fatima, 619",São Caetano do Sul,1_abc,(11) 4227-4637,,,,,,,,me,false,medio,Pet shop local tradicional.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Petz Sao Caetano,Petz Sao Caetano,pet_shop,megaloja,Fundacao,São Caetano do Sul,1_abc,,,,,https://www.petz.com.br/loja/petz-carrefour-sao-caetano,,,,grande,false,alto,"Rede Petz, loja Carrefour Sao Caetano.",,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,S2 Pets,S2 Pets,pet_shop,creche_pet,"Rua Amazonas, 720",São Caetano do Sul,1_abc,,,,@s2petss,,,,,me,false,medio,Pet shop + creche.,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Sao Francisco Pet Center,Sao Francisco Pet Center,hotel_pet,hotel_daycare,Sao Caetano do Sul,São Caetano do Sul,1_abc,,,,@saofrancisco980,,,,,me,false,medio,"Hotel, DayCare, Pet Walk, Banho e Tosa. +1000m2.",,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Woofy Pet Store,Woofy Pet Store,banho_tosa,premium,Sao Caetano do Sul,São Caetano do Sul,1_abc,,,,@woofypetstore,,,,,me,false,medio,Sem gaiolas. Trimming e tosas especializadas.,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Entre Patas Day Care,Entre Patas Day Care,hotel_pet,daycare,"Av. Presidente Kennedy, 1435",São Caetano do Sul,1_abc,(11) 4318-3233,(11) 99379-9852,,,https://entrepatasdaycare.com.br/,,,,me,false,medio,"Daycare, Banho e Tosa, Vet, Pet Shop, Natacao. 320m2.",,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Mon Petit Cantinho do Banho,Mon Petit Cantinho do Banho,banho_tosa,local,"R. Maceio, 811 - Barcelona",São Caetano do Sul,1_abc,(11) 4226-1396,(11) 96596-9858,,,,,,,me,false,medio,"Banho e tosa local, bairro Barcelona.",,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet Family ABC,Pet Family ABC,hotel_pet,creche_hotel,"R. Marina, 1490 - Santa Maria",São Caetano do Sul,1_abc,(11) 99519-6375,,,,https://petfamilyabc.com.br/,,,,me,false,medio,"Creche seg-sex 6:30-18:30, Hotel todos os dias. Vet incluido.",,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Pepetos,Pepetos,hotel_pet,creche_hotel,"Estrada das Lagrimas, 1170 - Jardim Sao Caetano",São Caetano do Sul,1_abc,(11) 4238-3096,(11) 95578-3240,,,https://pepetos.com.br/,,,,me,false,medio,"Creche, Hotel, Banho e Tosa, Natacao, Adestramento. Seg-Sex 7h-19h.",,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Cao a Cao,Cao a Cao,hotel_pet,creche_hotel,Sao Caetano do Sul,São Caetano do Sul,1_abc,,,,@crechecaoacao,https://www.caoacao.com.br/,,,,me,false,medio,"Creche, Hotelzinho, Dogwalker, Banho e Tosa.",,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuco Pet Care,Fuco Pet Care,hotel_pet,creche_hotel,Bairro Santa Maria,São Caetano do Sul,1_abc,,(11) 94082-6070,,@fucopetcare,,,,,me,false,medio,"Creche, Hotel, Banho e Tosa, Vacinas. Ambiente natureza.",,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Regia Tinas Care,Regia Tinas Care,banho_tosa,grooming,Sao Caetano do Sul,São Caetano do Sul,1_abc,,,,,https://www.banhonopet.com.br/,,,,me,false,medio,Groomers especializados em todas as racas.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Pronto Socorro Animal,Pronto Socorro Animal,clinica_vet,24h,"R. Secondo Modolin, 420 - Jardim Maria Cecilia",São Bernardo do Campo,1_abc,(11) 4338-3222,(11) 99285-3194,,,https://prontosocorroanimal.com.br/,,,,epp,false,alto,Pronto Socorro Animal 24h.,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Clinica Veterinaria Sao Bernardo,Clinica Veterinaria Sao Bernardo,clinica_vet,clinica,Sao Bernardo do Campo,São Bernardo do Campo,1_abc,(11) 4127-1839,(11) 4127-1839,,@vetsaobernardo,,,,,epp,false,alto,Clinica vet. Tambem: (11) 99646-0668.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Sao Bernardo Saude Animal,Sao Bernardo Saude Animal,clinica_vet,clinica,Sao Bernardo do Campo,São Bernardo do Campo,1_abc,(11) 3380-4421,(11) 99191-9001,,@clinica_saobernardo,,,,,epp,false,medio,"WhatsApp 99191-9001, Ligacao 99266-4390.",,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet ABC,Pet ABC,pet_shop,local,Sao Bernardo do Campo,São Bernardo do Campo,1_abc,,(11) 98765-2947,,@racoesabc,,,,,me,false,medio,Pet shop + banho e tosa.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Petland Rudge Ramos,Petland Rudge Ramos,pet_shop,franquia,"Av. Caminho do Mar, 2227 - Rudge Ramos",São Bernardo do Campo,1_abc,,,,@petlandsbc_rudgeramos,,,,,medio,false,alto,Franquia Petland premium.,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Cobasi SBC Faria Lima,Cobasi SBC Faria Lima,pet_shop,megaloja,"Av. Brigadeiro Faria Lima, 1760",São Bernardo do Campo,1_abc,(11) 4853-2220,,,,https://www.cobasi.com.br/lojas/cobasi-sbc-faria-lima,,,,grande,false,alto,Rede Cobasi.,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Betpet Shop,Betpet Shop,pet_shop,local,"R. Ernesta Pelosini, 92",São Bernardo do Campo,1_abc,(11) 4124-7057,,,,,,,,me,false,medio,Pet shop local.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Bichinho Chic,Bichinho Chic,banho_tosa,local,"R. Isaac Aizemberg, 307",São Bernardo do Campo,1_abc,(11) 4392-1313,,,,,,,,me,false,medio,Banho e tosa.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Best Pet SBC,Best Pet SBC,banho_tosa,hotel,Sao Bernardo do Campo,São Bernardo do Campo,1_abc,,(11) 93029-2183,,@bestpet.sbc,,,,,me,false,medio,"Banho, Tosa e Hotel.",,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Hovet Dr. Vet,Hovet Dr. Vet,clinica_vet,24h,"Av. Portugal, 1680 - Jardim Bela Vista",Santo André,1_abc,(11) 3969-7979,(11) 94142-5536,,@drvethovet,,,,,epp,false,alto,Hospital 24h todos os dias. Tel: 3969-7979/3969-5525.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Paco e Sua Turminha,Paco e Sua Turminha,clinica_vet,clinica,"Alameda Campestre, 590 - Campestre",Santo André,1_abc,(11) 4421-6467,(11) 98819-2753,contato@pacoesuaturminha.com.br,@pacoesuaturminha,https://pacoesuaturminha.com.br/,,,,epp,false,alto,Fundada 2007. Seg-Sab 8h-18h.,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet Shop Nemo,Pet Shop Nemo,pet_shop,vet_pet,"Av. Queiros Filho, 553",Santo André,1_abc,(11) 2896-7211,,,,,,,,me,false,medio,Pet shop e veterinaria.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Petz Santo Andre,Petz Santo Andre,pet_shop,megaloja,"Av. Ramiro Colleoni, 355 - Vila Assuncao",Santo André,1_abc,(11) 2181-7370,,,,https://www.petz.com.br/loja/petz-santo-andre,,,,grande,false,alto,Rede Petz.,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet Shop Mister Dog,Pet Shop Mister Dog,pet_shop,local,"Estrada do Pedroso, 299",Santo André,1_abc,,,,,,,,,me,false,medio,Pet shop local.,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,Hospital Veterinario Rivelles,Hospital Veterinario Rivelles,clinica_vet,hospital_24h,"Av. Alda, 384 - Parque Sete de Setembro",Diadema,1_abc,(11) 4343-4126,(11) 98944-9077,,@hospitalrivelles,https://rivelles.com.br/,,,,medio,false,alto,Hospital vet 24h. Desde 1985.,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Gran Pet Diadema,Gran Pet Diadema,pet_shop,clinica_pet,"Av. Senador Vitorino Freire, 421 - Centro",Diadema,1_abc,(11) 4043-2727,(11) 98666-4655,,@granpetdiadema,,,,,epp,false,alto,Clinica + Pet Shop.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Mundo Rural Pet Diadema,Mundo Rural Pet Diadema,pet_shop,clinica_pet,"Praca Bom Jesus Piraporinha, 122 - Piraporinha",Diadema,1_abc,(11) 4066-1302,(11) 97286-5803,,,https://www.mundoruralpet.com.br/,,,,epp,false,medio,Pet shop + clinica. Clinica: (11) 94138-5172.,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Cobasi Diadema,Cobasi Diadema,pet_shop,megaloja,"Av. Presidente Kennedy, 480",Diadema,1_abc,,,,,https://www.cobasi.com.br/lojas/cobasi-diadema,,,,grande,false,alto,Rede Cobasi.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Petz Diadema,Petz Diadema,pet_shop,megaloja,"Av. Fabio Eduardo Ramos Esquivel, 1100 - Centro",Diadema,1_abc,(11) 2181-7352,,,,https://www.petz.com.br/loja/petz-diadema,,,,grande,false,alto,Rede Petz.,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,PetConsulta Diadema,PetConsulta Diadema,clinica_vet,clinica_pet,Campanario,Diadema,1_abc,,,,,https://www.petconsultadiadema.com.br/,,,,me,false,medio,Clinica + banho e tosa.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Animavet Pet Shop,Animavet Pet Shop,pet_shop,clinica_pet,"Av. Jose Bonifacio, 705 - Conceicao",Diadema,1_abc,(11) 4056-2157,,,,,,,,me,false,medio,Pet shop e veterinaria.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal Mania Maua,Animal Mania Maua,clinica_vet,clinica,"R. Porto Feliz, 757 - Jardim Haydee",Mauá,1_abc,(11) 2312-8236,(11) 95585-9443,atendimento@animalmaniaveterinaria.com.br,@clinvet_animalmaniaspmaua,https://animalmaniaveterinaria.com.br/,,,,epp,false,medio,"Ter-Sex 9h-18h, Sab 9h-17h.",,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Animale Hospital Maua,Animale Hospital Maua,clinica_vet,hospital_24h,"R. Almirante Barroso, 114 - Vila Bocaina",Mauá,1_abc,(11) 4515-5535,(11) 94669-4122,,@hovetanimale,https://hovetanimale.com.br/,,,,epp,false,alto,Hospital 24h. Clinico + Emergencial + Exames + Raio X.,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet Shop Central Maua,Pet Shop Central Maua,pet_shop,local,"R. Luis Lacava, 300",Mauá,1_abc,(11) 3421-9807,,,,,,,,me,false,medio,Pet shop central.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Petz Shopping Maua,Petz Shopping Maua,pet_shop,megaloja,"Av. Gov. Mario Covas Junior, 01 - Centro",Mauá,1_abc,(11) 2181-7329,,,,https://www.petz.com.br/loja/petz-shopping-maua,,,,grande,false,alto,Rede Petz.,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,Tico Tico Vet Maua,Tico Tico Vet Maua,clinica_vet,clinica_pet,"R. Alziro Vidoto, 3 - Jardim Maringa",Mauá,1_abc,,(11) 93407-5752,,,,,,,me,false,medio,Clinica vet e pet shop.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,Pet Patas e Pelos,Pet Patas e Pelos,pet_shop,local,"Av. Presidente Castelo Branco, 1510 - Jardim Zaira",Mauá,1_abc,(11) 98717-3735,,,,,,,,me,false,medio,Pet shop local.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
21.082.319/0001-83,Vet Don Ruiz Petshop LTDA,Don Ruiz Petshop,banho_tosa,pet_shop,"R. Rafael Correa Sampaio, 705 - Santa Paula",São Caetano do Sul,1_abc,,,,,,,,,me,false,medio,Receita Federal. Banho e tosa + pet shop. Simples Nacional. Fundada 2014.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
33.523.239/0001-03,R&M Pet Shop e Estetica Animal LTDA,Mundi Pet Shop,banho_tosa,pet_shop,"R. Vinte e Oito de Julho, 199 - Fundacao",São Caetano do Sul,1_abc,,,,,,,,,me,false,medio,Receita Federal. Banho e tosa + pet shop. Simples Nacional. Fundada 2019.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
41.775.117/0001-24,Acf Pet Shop Veterinario e Comercio LTDA,ACF Pet Shop Veterinario,clinica_vet,clinica_pet,"R. Sao Francisco de Assis, 28 - Santa Maria",São Caetano do Sul,1_abc,,,,,,,,,me,false,alto,Receita Federal. Vet + pet shop. Capital R$50k. Simples. Fundada 2021.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
53.031.350/0001-81,Tia Su Pet Shop LTDA,Tia Su Pet Shop,banho_tosa,pet_shop,"R. Floriano Peixoto, 439 - Santa Paula",São Caetano do Sul,1_abc,,,,,,,,,me,false,medio,Receita Federal. Banho e tosa + pet shop. Simples. Fundada nov/2023.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
35.491.209/0001-80,Alex Caetano Martins Pet Shop,My Pet Style,banho_tosa,grooming,"R. Wenceslau Bras, 359 - Santa Paula",São Caetano do Sul,1_abc,,,,,,,,,me,false,medio,Receita Federal. Estetica animal. Fundada 2019.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
65.800.241/0001-60,Hospeda Pet LTDA,Hospeda Pet,hotel_pet,hospedagem,"R. Manoel Augusto Ferreirinha, 754 - Nova Gerty",São Caetano do Sul,1_abc,,,,,,,,,me,false,medio,Receita Federal. Hotel pet + pet shop. Capital R$30k. NOVA mar/2026.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
47.348.535/0001-11,Sao Bernardo Pet Center LTDA,Sao Bernardo Pet Center,pet_shop,pet_center,"Av. Luiz Pequini, 1050 - Santa Terezinha",São Bernardo do Campo,1_abc,,,,,,,,,me,false,alto,Receita Federal. Pet shop. Capital R$150k. Simples. Fundada 2022.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
54.311.567/0001-08,Pet Shop Instinto-Animal LTDA,Instinto Animal,banho_tosa,pet_shop,"R. Aluisio de Azevedo, 55 - Ferrazopolis",São Bernardo do Campo,1_abc,,,,,,,,,epp,false,alto,Receita Federal. Banho e tosa + pet shop. EPP Capital R$200k. Fundada 2024.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
08.911.762/0001-51,Savet Pet Shop LTDA,Savet Pet Shop,clinica_vet,clinica_pet,"R. Rio, 44 - Rudge Ramos",São Bernardo do Campo,1_abc,,,,,,,,,me,false,alto,Receita Federal. Vet + pet shop. Rudge Ramos. Fundada 2007 (18 anos!).,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
40.835.319/0001-51,Animal Rei Clinica Veterinaria e Pet Shop LTDA,Animal Rei,clinica_vet,clinica_pet,"Av. Valentim Magalhaes, 2541 - Maracana",Santo André,1_abc,,,,,,,,,me,false,medio,Receita Federal. Vet + pet shop. Simples. Fundada 2021.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
40.956.796/0001-75,Clinica e Veterinaria e Pet Shop Clube do Pelo LTDA,Clube do Pelo,clinica_vet,clinica_pet,"Av. Lino Jardim, 680 - Vila Bastos",Santo André,1_abc,,,,,,,,,me,false,alto,Receita Federal. Vet + pet shop. Capital R$150k. Vila Bastos. Fundada 2021.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
60.828.888/0001-87,Clinica Veterinaria Pet Life Santo Andre LTDA,Pet Life Santo Andre,clinica_vet,clinica,"Av. Dom Pedro II, 2211 - Campestre",Santo André,1_abc,,,,,,,,,me,false,alto,Receita Federal. Clinica vet. Capital R$50k. Campestre. NOVA mai/2025.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,Petstar Estrela,banho_tosa,especializado,,São Caetano do Sul,,,,,@petstar114,,,,,mei,,,Banho & Tosa em SCS. Especialistas em cuidado e acabamento. Atendimento personalizado. Bairro Barcelona. Agendamentos via WhatsApp.,,,1,Barcelona,,firecrawl:instagram:pet shop são caetano banho tosa,2026-04-03,,,,,,,,,,,,,,,,,,,,,
,,Petland São Caetano,pet_shop,franquia,,São Caetano do Sul,,,(11) 97645-2011,,@petland.saocaetano,,,,,medio,,,Franquia Petland. Maior rede de franquias de pet shop do Brasil. Banho e tosa disponível. Agendar pelo WhatsApp.,,,2,,,firecrawl:instagram:pet shop são caetano banho tosa,2026-04-03,,,,,,,,,,,,,,,,,,,,,
,,Tosa & Charme,banho_tosa,grooming,,São Caetano do Sul,,(11) 99523-0487,(11) 97176-6029,,@banhotosa.charme,,,,,mei,,,Groomer profissional em SCS. Bio: Transforme o visual do seu melhor amigo com carinho e profissionalismo. 2 números de contato.,,,2,,,firecrawl:instagram:pet shop são caetano banho tosa,2026-04-03,,,,,,,,,,,,,,,,,,,,,
,,Pet Shop Amigo Fiel,pet_shop,loja_servico,"Rua Tocantins, 606",São Caetano do Sul,,,,,@amigofielpetshop_,,,,,mei,,,Pet Shop + Curso de Banho e Tosa Profissional. 1.836 curtidas no Facebook. Também oferece formação para groomers.,,,2,,facebook.com/amigofieldeverdade,firecrawl:instagram:pet shop são caetano banho tosa + firecrawl:facebook:pet shop são caetano,2026-04-03,,,,,,,,,,,,,,,,,,,,,
,,Family PetLimp,pet_shop,loja_servico,"Av. Maria Servidei Demarchi, 1548",São Bernardo do Campo,,(11) 4129-3133,,,@family_petlimp,,,,,epp,,,CNPJ 37.579.593/0001-00. Pet Shop com banho & tosa a partir de R$40. Produtos essenciais + cuidado profissional. Confirmado via cnpj.biz.,,,3,Demarchi,,firecrawl:instagram:pet shop são bernardo banho tosa + serper:cnpj.biz,2026-04-03,,,,,,,,,,,,,,,,,,,,,
,,Swiss Pet,banho_tosa,loja_servico,"Av. Maria Servidei Demarchi, 2297",São Bernardo do Campo,,,(11) 99107-9197,,,,,,,mei,,,Banho e tosa + DayUse. CEP 09820-000. Posts frequentes no Instagram indicando atividade. Telefone/WhatsApp confirmado em múltiplos posts.,,,3,Jardim Nossa Sra. de Fátima,,firecrawl:instagram:pet shop são bernardo banho tosa,2026-04-03,,,,,,,,,,,,,,,,,,,,,
,,Cão Barão Pet Shop,pet_shop,centro_estetica,"Av. Barão de Mauá, 317",São Bernardo do Campo,,,,,@petcaobarao,,,,,epp,,,Um novo conceito em cuidados pet. Centro de Estética + Loja + Ozônio + Veterinário. 9.2K seguidores Instagram. Alto engajamento.,,,2,,,firecrawl:instagram:pet shop são bernardo banho tosa,2026-04-03,,,,,,,,,,,,,,,,,,,,,
